Name,Address,Hours,PriceRange,Cuisines,Meals,Rating
"Dragon Beaux, San Francisco","5700 Geary Blvd, San Francisco, CA 94121-2112",Closed Now:See all hours,,"chinese, asian, seafood","lunch, dinner, brunch, drinks",4.0
"Mersea Restaurant, San Francisco","699 Avenue of the Palms, Treasure Island, San Francisco, CA 94130",Closed Now:See all hours,"['6', '18']",,"lunch, dinner, brunch, drinks",5.0
"Eight Am, San Francisco","1323 Columbus Ave, San Francisco, CA 94133-1330",Closed Now:See all hours,,,,4.5
"Quince, San Francisco","470 Pacific Ave, San Francisco, CA 94133-4610",Closed Now:See all hours,"['220', '300']",,,4.5
"Kokkari Estiatorio, San Francisco","200 Jackson St, San Francisco, CA 94111-1806",Closed Now:See all hours,,"mediterranean, greek","lunch, dinner",4.5
"Chapeau!, San Francisco","126 Clement St, San Francisco, CA 94118-2420",Closed Now:See all hours,,"french, european",,4.5
"Taylor Street Coffee Shop, San Francisco","375 Taylor St, San Francisco, CA 94102-2004",Closed Now:See all hours,,"american, contemporary, cafe","breakfast, lunch, brunch",4.5
"Pacific Cafe, San Francisco","7000 Geary Blvd, San Francisco, CA 94121-1623",Closed Now:See all hours,,"american, seafood",dinner,4.5
"Seven Hills, San Francisco","1896 Hyde St, San Francisco, CA 94109-3114",Closed Now:See all hours,"['20', '60']",,dinner,4.5
"L'ardoise Bistro, San Francisco","151 Noe St, San Francisco, CA 94114-1245",Closed Now:See all hours,"['20', '60']",,dinner,4.5
"Lapisara Eatery, San Francisco","698 Post St, Post St. & Jones St., San Francisco, CA 94109-8232",Closed Now:See all hours,"['10', '20']","asian, thai",,4.5
"Hollywood Cafe, San Francisco","530 North Point St, San Francisco, CA 94133-1312",Closed Now:See all hours,,"american, cafe","breakfast, lunch, brunch",4.5
"Beach Street Grill Organic Restaurant, San Francisco","380 Beach St, Fishermans Wharf, San Francisco, CA 94133-1214",Closed Now:See all hours,,"american, seafood, grill, beer restaurants","breakfast, lunch, brunch, drinks",4.0
"Ristorante Franchino, San Francisco","347 Columbus Ave, San Francisco, CA 94133-3907",Closed Now:See all hours,,italian,,4.5
"Anchor Oyster Bar & Seafood Market, San Francisco","579 Castro St, San Francisco, CA 94114-2511",Closed Now:See all hours,"['21', '30']","american, seafood, soups",,4.5
"Jeanne D'Arc Restaurant, San Francisco","715 Bush St, Cornell Hotel de France, San Francisco, CA 94108-3402",Closed Now:See all hours,"['58', '66']",,dinner,4.5
"Hog Island Oyster Company, San Francisco","The Ferry Building Marketplace, One Ferry Building, #11, San Francisco, CA 94111",Closed Now:See all hours,,"american, seafood, soups",,4.5
"E Tutto Qua, San Francisco","270 Columbus Ave, San Francisco, CA 94133-4518",Closes in 1 min:5:00 PM - 12:00 AM,"['20', '50']",,dinner,4.5
"Alexander's Steakhouse, San Francisco","448 Brannan St, San Francisco, CA 94107-1713",Closed Now:See all hours,"['45', '75']",,"dinner, late night",4.0
"Sweet Maple, San Francisco","2101 Sutter St, San Francisco, CA 94115-3119",Closed Now:See all hours,,,"breakfast, lunch, brunch, drinks",4.5
"Pacific Catch, San Francisco","2027 Chestnut St, Cross Street Fillmore, San Francisco, CA 94123-2701",Closed Now:See all hours,"['11', '27']",,"lunch, dinner",4.5
"Betty Lou's Seafood and Grill, San Francisco","318 Columbus Ave, Corner of Columbus & Grant, San Francisco, CA 94133-3908",Closed Now:See all hours,"['14', '45']",,"lunch, dinner",4.5
"Coqueta, San Francisco","The Embarcadero, Pier 5, San Francisco, CA",Closed Now:See all hours,,"mediterranean, spanish, catalan",,4.5
"La Ciccia, San Francisco","291 30th St, San Francisco, CA 94131-2454",Closed Now:See all hours,"['21', '30']",,"dinner, late night",4.5
"Philmore Creamery, San Francisco","1840 Fillmore St, San Francisco, CA 94115-3126",Closed Now:See all hours,,"italian, american, contemporary","lunch, dinner, brunch, late night, drinks",5.0
"Off the Grid: Fort Mason Center, San Francisco","Fort Mason Center Parking Lot Buchanan St & Marina Blvd, San Francisco, CA 94123",Closed today:See all hours,,"fast food, international","dinner, late night",4.5
"Burma Superstar Restaurant, San Francisco","309 Clement St, San Francisco, CA 94118-2315",Closed Now:See all hours,,"asian, burmese","lunch, dinner, late night",4.5
"Mo's Grill, San Francisco","1322 Grant Ave, San Francisco, CA 94133-3904",Closed Now:See all hours,,"american, diner",,4.5
"Piccolo Forno, San Francisco","725 Columbus Ave, San Francisco, CA 94133-2701",Closed Now:See all hours,"['10', '19']","italian, pizza, mediterranean",,4.5
"Chez Maman, San Francisco","1401 18th St, San Francisco, CA 94107-2801",Closed Now:See all hours,,"french, european","lunch, dinner, brunch, late night",4.5
"Boulevard, San Francisco","1 Mission St, San Francisco, CA 94105-1209",Closed Now:See all hours,,"american, international","lunch, dinner, late night",4.5
"Delancey Street Restaurant, San Francisco","600 The Embarcadero, San Francisco, CA 94107-2116",Closed Now:See all hours,,"american, international",,4.5
"The House, San Francisco","1230 Grant Ave, San Francisco, CA 94133-3910",Closed Now:See all hours,,"seafood, asian","lunch, dinner, late night",4.5
"Acquerello, San Francisco","1722 Sacramento St, San Francisco, CA 94109-3619",Closed Now:See all hours,,,,4.5
"Nob Hill Cafe, San Francisco","1152 Taylor St, San Francisco, CA 94108-1916",Closed Now:See all hours,,"italian, pizza","lunch, dinner, brunch, late night",4.5
SPIN San Francisco,"690 Folsom St, San Francisco, CA 94107-1397",+ Add hours,,,,4.0
"The Blue Light, San Francisco","1979 Union St, San Francisco, CA 94123-4224",Open Now:See all hours,"['5', '40']","american, bar, seafood, grill, pub, healthy, wine bar, dining bars","brunch, breakfast, lunch, dinner, drinks",4.0
"Liholiho Yacht Club, San Francisco","871 Sutter St, Cross street: Leavenworth, San Francisco, CA 94109-6168",Closed today:See all hours,,"asian, hawaiian",,4.5
"Frascati, San Francisco","1901 Hyde St, San Francisco, CA 94109-2014",Closed Now:See all hours,,italian,"dinner, late night",4.5
"Fino Bar & Ristorante, San Francisco","624 Post St, San Francisco, CA 94109-8222",Closed Now:See all hours,,italian,"lunch, dinner, late night",4.5
"Pazzia Ristorante Italiano, San Francisco","337 3rd St, San Francisco, CA 94107-1212",Closed today:See all hours,"['21', '30']",,"lunch, dinner, late night, drinks",4.5
"New Thai Elephant, San Francisco","393 Bay St, San Francisco, CA 94133-1901",Closed Now:See all hours,"['15', '25']","asian, thai","lunch, dinner",4.0
"Trestle, San Francisco","531 Jackson St, San Francisco, CA 94133-5113",Closed Now:See all hours,,american,,4.5
"Restaurant Gary Danko, San Francisco","800 N Point St, San Francisco, CA 94109-1228",Closed Now:See all hours,,american,"dinner, late night",4.5
"Ristorante Milano, San Francisco","1448 Pacific Ave, San Francisco, CA 94109-2625",Closed Now:See all hours,"['31', '40']",italian,,4.5
"Za Pizza, San Francisco","1919 Hyde St, San Francisco, CA 94109-2014",Closed Now:See all hours,,"italian, pizza","lunch, dinner, late night",4.5
"Zazie, San Francisco","941 Cole St, San Francisco, CA 94117-4315",Closed Now:See all hours,,,,4.5
"Z & Y Restaurant, San Francisco","655 Jackson St, San Francisco, CA 94133-5009",Closed Now:See all hours,,,"lunch, dinner",4.0
"Surisan, San Francisco","505 Beach St, A, San Francisco, CA 94133-1130",Closed Now:See all hours,"['10', '29']",,"breakfast, lunch, dinner, brunch, late night, drinks",4.5
"State Bird Provisions, San Francisco","1529 Fillmore St, San Francisco, CA 94115-3515",Closed Now:See all hours,,,"dinner, late night",4.5
"Brenda's French Soul Food, San Francisco","652 Polk St, San Francisco, CA 94102-3328",Closed Now:See all hours,,,,4.5
"Sotto Mare Oysteria & Seafood, San Francisco","552 Green St, San Francisco, CA 94133-3920",Closed today:See all hours,,"italian, seafood, soups","lunch, dinner, late night",4.5
"Frances, San Francisco","3870 17th St, 17th and Pond St, near Market and Castro, San Francisco, CA 94114-2030",Closed today:See all hours,"['35', '45']",american,,4.5
"Matador, San Francisco","679 Sutter Street, 2 Blocks from Union Square, San Francisco, CA 94102-1017",Closed Now:See all hours,"['15', '30']",,"lunch, dinner, late night, drinks",4.5
"Mymy, San Francisco","1500 California St, San Francisco, CA 94109-4708",Closed Now:See all hours,,"american, cafe","breakfast, lunch, brunch",4.5
"Fog Harbor Fish House, San Francisco","Pier 39 #A202, San Francisco, CA 94133-1006",Closed Now:See all hours,"['15', '40']",,"drinks, lunch, dinner, brunch, late night",4.5
"Nopa, San Francisco","560 Divisadero St, San Francisco, CA 94117-2213",Open Now:See all hours,,,,4.5
"La Folie, San Francisco","2316 Polk St, La Folie Lounge next door to the restaurant, San Francisco, CA 94109-1822",Closed today:See all hours,,"french, contemporary","dinner, late night",4.5
"Buena Vista Cafe, San Francisco","2765 Hyde St, Fisherman's Wharf, San Francisco, CA 94109-1222",Open Now:See all hours,,"american, irish, bar, cafe, pub, deli",,4.5
"NOVY Restaurant, San Francisco","4000 24th St, San Francisco, CA 94114-3716",Closed Now:See all hours,"['6', '28']","greek, american, mediterranean",,4.5
"Atelier Crenn, San Francisco","3127 Fillmore St, San Francisco, CA 94123-3416",Closed today:See all hours,,french,,4.5
"Home Plate, San Francisco","2274 Lombard St, San Francisco, CA 94123-2704",Closed Now:See all hours,,"american, cafe","breakfast, lunch, brunch",4.5
"Octavia, San Francisco","1701 Octavia St, San Francisco, CA 94109-4326",Closed Now:See all hours,,american,,4.5
"Tadich Grill, San Francisco","240 California St, San Francisco, CA 94111-4361",Closed today:See all hours,,"american, seafood",,4.5
"Lolo, San Francisco","974 Valencia St, Btwn 21st & Liberty St, San Francisco, CA 94110-2322",Open Now:5:30 PM - 1:00 AM,,,"lunch, dinner, late night",4.5
"Curry Leaf Restaurant, San Francisco","943 Columbus Ave, San Francisco, CA 94133-2309",Closed Now:See all hours,,"indian, asian, pakistani",,4.5
"Don Pisto's, San Francisco","510 Union St, San Francisco, CA 94133-3315",Closed Now:See all hours,,"mexican, latin",,4.5
"Mandalay, San Francisco","4348 California St, San Francisco, CA 94118-1316",Closed Now:See all hours,,"asian, burmese","lunch, dinner",4.5
"Rich Table, San Francisco","199 Gough St, At Oak Street, San Francisco, CA 94102-5919",Closed Now:See all hours,"['31', '50']",,"dinner, late night",4.5
"Isa, San Francisco","3324 Steiner St, San Francisco, CA 94123-2707",Closed Now:See all hours,"['31', '40']",,,4.5
"Capannina, San Francisco","1809 Union St, San Francisco, CA 94123-4307",Closed Now:See all hours,,"italian, mediterranean, european","dinner, lunch, late night",4.5
"Plow, San Francisco","1299 18th St, at Texas, San Francisco, CA 94107-2919",Closed Now:See all hours,,"american, cafe",,4.5
"Eno Wine Bar, San Francisco","320 Geary St, San Francisco, CA 94102-1802",Closed Now:12:00 PM - 12:00 AM,,wine bar,drinks,4.5
"The Progress, San Francisco","1525 Fillmore St, San Francisco, CA 94115-3515",Closed Now:See all hours,,american,,4.5
Roka Akor | San Francisco,"801 Montgomery St, San Francisco, CA 94133-5164",Closed Now:See all hours,"['31', '50']",,"lunch, dinner, drinks",4.5
"Zingari, San Francisco","501 Post St, San Francisco, CA 94102-1228",Closed Now:See all hours,,,"brunch, dinner, breakfast, lunch, late night, drinks",3.5
"Harris' Steakhouse, San Francisco","2100 Van Ness Ave, On the corner of Pacific Avenue and Van Ness Avenue, San Francisco, CA 94109-2511",Closed Now:See all hours,,"american, steakhouse","dinner, late night",4.5
"Trattoria Contadina, San Francisco","1800 Mason St, San Francisco, CA 94133-2711",Closed Now:See all hours,,italian,"lunch, dinner, late night",4.5
"Pat's Cafe, San Francisco","2330 Taylor St, San Francisco, CA 94133-1810",Closed Now:See all hours,,"american, cafe","breakfast, lunch, brunch",4.5
"Taj Campton Place Restaurant, San Francisco","340 Stockton St, San Francisco, CA 94108-4609",Closed Now:See all hours,,,,4.5
"Bourbon and Branch, San Francisco","501 Jones St, Look for the unmarked anti saloon league door., San Francisco, CA 94102-2007",Open Now:6:00 PM - 2:00 AM,,,"late night, drinks",4.5
"Mourad, San Francisco","140 New Montgomery St, San Francisco, CA 94105-3705",Closed Now:See all hours,"['80', '150']",,"lunch, dinner",4.5
"Montesacro Pinseria, San Francisco","510 Stevenson St, San Francisco, CA 94103-1607",Closed Now:See all hours,,"italian, pizza, romana, lazio, central-italian","lunch, dinner, late night",4.5
"Leopold's, San Francisco","2400 Polk St, San Francisco, CA 94109-1603",Closed Now:See all hours,,,,4.5
"Espetus Churrascaria Brazilian Steak House, San Francisco","1686 Market St, San Francisco, CA 94102-5949",Closed Now:See all hours,"['32', '61']",,"dinner, lunch",4.5
"Yank Sing, San Francisco","101 Spear St, One Rincon Ctr, San Francisco, CA 94105-1559",Closed Now:See all hours,"['20', '30']",,"lunch, brunch",4.5
"El Nuevo Frutilandia, San Francisco","3077 24th St, San Francisco, CA 94110-4145",Closed Now:See all hours,"['10', '40']","caribbean, latin, cuban, puerto rican",,4.5
"Scoma's, San Francisco","1965 Al Scoma Way, Pier 47, San Francisco, CA 94133-1044",Closed Now:See all hours,"['31', '50']",,"lunch, dinner",4.5
"Il Casaro Pizzeria and Mozzarella Bar, San Francisco","348 Columbus Ave, San Francisco, CA 94133-3915",Closed Now:See all hours,,"italian, pizza, neapolitan, campania, southern-italian","lunch, dinner",4.5
"Bouche, San Francisco","603 Bush St, San Francisco, CA 94108-3505",Closed Now:See all hours,"['10', '40']",,"dinner, drinks, late night",4.5
"Tommaso Ristorante Italiano, San Francisco","1042 Kearny St, San Francisco, CA 94133",Closed Now:See all hours,,"italian, pizza",,4.5
"Rocco's Cafe, San Francisco","1131 Folsom St, San Francisco, CA 94103-3931",Closed Now:See all hours,"['15', '25']",,"lunch, dinner, brunch, breakfast",4.5
"Kitchen Story, San Francisco","3499 16th St, San Francisco, CA 94114-1731",Closed Now:See all hours,,"american, fusion","breakfast, lunch, dinner, brunch",4.5
"Original Joe's, San Francisco","601 Union St, San Francisco, CA 94133-2812",Closed Now:See all hours,"['10', '40']",,"lunch, dinner, brunch, late night, drinks",4.5
"House of Prime Rib, San Francisco","1906 Van Ness Ave, San Francisco, CA 94109-3008",Closed Now:See all hours,"['31', '40']","american, steakhouse",,4.5
"Tony's Pizza Napoletana, San Francisco","1570 Stockton St, San Francisco, CA 94133-3306",Closed Now:See all hours,"['20', '25']",,"lunch, dinner, late night",4.5
"Swan Oyster Depot, San Francisco","1517 Polk St, San Francisco, CA 94109-3606",Closed today:See all hours,,"american, seafood, soups",lunch,4.5
"Rambler at Hotel Zeppelin, San Francisco","545 Post St, Hotel Zeppelin, San Francisco, CA 94102",Closed Now:See all hours,,"american, bar, cafe",,4.0
"Darren's Cafe, San Francisco","2731 Taylor St, San Francisco, CA 94133-1203",Closed Now:See all hours,,"american, cafe, asian, vietnamese","breakfast, lunch, brunch",4.5
"La Taqueria, San Francisco","2889 Mission St, San Francisco, CA 94110-3907",Closed Now:See all hours,,"mexican, latin, fast food, central american",,4.5
"Good Mong Kok Bakery, San Francisco","1039 Stockton St, San Francisco, CA 94108-1109",Closed Now:See all hours,,"chinese, fast food, asian","breakfast, lunch",4.5
"Greens Restaurant, San Francisco","2 Marina Blvd, Building A, San Francisco, CA 94123-1284",Closed Now:See all hours,,,"lunch, dinner, brunch, late night",4.5
"Firenze By Night, San Francisco","1429 Stockton St, San Francisco, CA 94133-3817",Closed Now:See all hours,,italian,,4.5
